run_id,row_type,sim_time_s,sim_minutes,customer_id,wait_time_min,price,quality,mode,demand,n_servers,money_cum,labor_cum,fixed_cum,profit
run_20251104_165929,meal,292.3200000000003,4.872000000000004,11,2.366000000000005,12.0,0.5387010242340324,robot,0.9471014529935712,2,12.0,1.6240000000000074,2.029999999999998,8.345999999999995
run_20251104_165929,meal,324.4799999999997,5.407999999999995,60,2.41699999999999,12.0,0.8485154171492024,robot,1.0678015613057459,2,24.0,1.8026666666666757,2.253333333333337,19.94399999999999
run_20251104_165929,meal,485.3999999999966,8.089999999999943,74,2.6819999999999493,12.0,0.8449516649092466,robot,1.2804025589697985,2,36.0,2.6966666666666566,3.3708333333333678,29.932499999999973
run_20251104_165929,meal,487.3799999999966,8.122999999999942,37,3.366999999999936,12.0,0.7974748761731457,robot,1.2781617931994682,2,48.0,2.7076666666666562,3.384583333333368,41.90774999999998
run_20251104_165929,meal,675.4799999999975,11.257999999999958,52,5.214999999999976,12.0,0.5861644022558311,robot,0.6528385882995789,2,60.0,3.752666666666625,4.690833333333379,51.55649999999999
run_20251104_165929,meal,680.5199999999975,11.341999999999958,48,5.883999999999964,12.0,0.48450107694547173,robot,0.6301498707718094,2,72.0,3.780666666666624,4.725833333333378,63.493500000000004
run_20251104_165929,meal,767.279999999998,12.787999999999967,30,6.160999999999996,12.0,0.7633486961508706,robot,0.26762093497112993,2,84.0,4.26266666666662,5.328333333333374,74.409
run_20251104_165929,meal,884.1599999999992,14.735999999999986,59,8.125000000000014,12.0,0.8112560623296882,robot,0.013939781802716156,2,96.0,4.911999999999961,6.140000000000037,84.948
run_20251104_165929,meal,912.3599999999991,15.205999999999985,8,8.562000000000014,12.0,0.7448058813805203,robot,0.012399782538303983,2,108.0,5.068666666666626,6.335833333333367,96.5955
run_20251104_165929,meal,1063.9799999999998,17.732999999999997,55,10.723000000000033,12.0,0.7784716544010175,robot,0.38846563011059104,2,120.0,5.910999999999961,7.388750000000023,106.70025000000001
run_20251104_165929,meal,1072.9799999999998,17.882999999999996,23,10.97400000000003,12.0,0.8997985313519252,robot,0.42587182202400564,2,132.0,5.960999999999961,7.451250000000022,118.58775000000003
run_20251104_165929,meal,1251.4800000000005,20.858000000000008,65,13.783000000000046,12.0,0.8252618391807753,robot,1.1533559868590058,2,144.0,6.952666666666632,8.690833333333357,128.3565
run_20251104_165929,meal,1283.940000000001,21.399000000000015,18,14.036000000000058,12.0,0.614479221520704,robot,1.2326139044887603,2,156.0,7.13299999999997,8.916250000000016,139.95075
run_20251104_165929,meal,1413.4200000000023,23.557000000000038,4,15.698000000000091,12.0,0.7084086566153104,robot,1.2378056908746375,2,168.0,7.852333333333317,9.815416666666664,150.33225000000002
run_20251104_165929,meal,1484.580000000003,24.743000000000052,73,17.280000000000094,12.0,0.8142936029623631,robot,1.0356499000960815,2,180.0,8.247666666666628,10.309583333333324,161.44275000000005
run_20251104_165929,meal,1676.1000000000056,27.935000000000095,75,19.745000000000154,12.0,0.6424473106196456,robot,0.23661984886343418,2,192.0,9.31166666666655,11.639583333333295,171.04875000000015
run_20251104_165929,meal,1687.0200000000057,28.117000000000093,67,20.190000000000147,12.0,0.7792626046153632,robot,0.20044703578047707,2,204.0,9.372333333333213,11.715416666666627,182.91225000000014
run_20251104_165929,meal,1876.3200000000072,31.27200000000012,42,22.45100000000018,12.0,0.7615337195510874,robot,0.09940923724326267,2,216.0,10.423999999999808,13.029999999999948,192.54600000000025
run_20251104_165929,meal,1908.9600000000075,31.816000000000127,11,23.394000000000187,12.0,0.8091190257470914,robot,0.1877849547084608,2,228.0,10.605333333333128,13.25666666666661,204.13800000000026
run_20251104_165929,meal,1942.500000000008,32.375000000000135,62,23.452000000000194,12.0,0.764932495429302,robot,0.3037078224153384,2,240.0,10.791666666666448,13.489583333333274,215.71875000000026
run_20251104_165929,meal,1955.2200000000082,32.58700000000014,43,23.034000000000194,12.0,0.7358402937267564,robot,0.3530658898631022,2,252.0,10.862333333333108,13.577916666666603,227.5597500000003
run_20251104_165929,meal,2143.8600000000106,35.73100000000018,29,26.692000000000235,12.0,0.8878431242634133,robot,1.1308783783286298,2,264.0,11.910333333333032,14.887916666666584,237.2017500000004
run_20251104_165929,meal,2191.380000000011,36.52300000000018,69,26.97000000000024,12.0,0.6059358682553253,robot,1.2467369254379892,2,276.0,12.174333333333013,15.217916666666579,248.60775000000038
run_20251104_165929,meal,2244.8400000000115,37.41400000000019,3,27.514000000000244,12.0,0.8802143254032715,robot,1.2995815371830564,2,288.0,12.471333333332993,15.589166666666573,259.9395000000004
run_20251104_165929,meal,2392.8600000000124,39.881000000000206,49,30.06500000000026,12.0,0.6647063725595795,robot,1.004931532711509,2,300.0,13.293666666666272,16.617083333333312,270.0892500000004
run_20251104_165929,meal,2456.7600000000125,40.94600000000021,72,30.73000000000026,12.0,0.7177815912176381,robot,0.7369120078425812,2,312.0,13.648666666666252,17.060833333333363,281.2905000000004
run_20251104_165929,meal,2577.060000000013,42.95100000000022,9,32.669000000000274,12.0,0.7944304176970833,robot,0.23333922477751573,2,324.0,14.316999999999542,17.89625000000013,291.7867500000003
run_20251104_165929,meal,2673.7200000000134,44.562000000000225,12,34.18000000000028,12.0,0.8164564792449243,robot,0.020825216451496598,2,336.0,14.853999999999509,18.56750000000021,302.57850000000025
