run_id,row_type,sim_time_s,sim_minutes,customer_id,wait_time_min,price,quality,mode,demand,n_servers,money_cum,labor_cum
run_20251104_164407,meal,372.29999999999865,6.204999999999978,11,3.713999999999978,12.0,0.5387010242340324,human,1.2074085320912544,3,12.0,5.584500000000008
run_20251104_164407,meal,386.0999999999984,6.434999999999973,60,3.464999999999969,12.0,0.8485154171492024,human,1.2368764037924875,3,24.0,5.791500000000009
run_20251104_164407,meal,618.539999999997,10.30899999999995,37,5.587999999999943,12.0,0.7974748761731457,human,0.9027041866947026,3,36.0,9.278100000000018
run_20251104_164407,meal,624.539999999997,10.408999999999951,48,4.999999999999957,12.0,0.7554271497701105,human,0.8775482902059033,3,48.0,9.368100000000018
run_20251104_164407,meal,676.2599999999973,11.270999999999955,74,5.911999999999961,12.0,0.5748991104794703,human,0.6493263568371981,3,60.0,10.143900000000018
run_20251104_164407,meal,769.439999999998,12.823999999999966,59,6.2739999999999965,12.0,0.6288250161377733,human,0.25988846675504684,3,72.0,11.54160000000002
run_20251104_164407,meal,806.3999999999984,13.439999999999973,52,7.450999999999992,12.0,0.5240755593505657,human,0.14287619287215103,3,84.0,12.09600000000002
run_20251104_164407,meal,1012.0199999999996,16.866999999999994,32,10.695000000000016,12.0,0.5239427255675384,human,0.19739033803987088,3,96.0,15.180300000000022
run_20251104_164407,meal,1158.9600000000005,19.31600000000001,65,12.308000000000046,12.0,0.5851271952209842,human,0.806491589388906,3,108.0,17.384399999999957
run_20251104_164407,meal,1321.1400000000012,22.01900000000002,55,15.077000000000059,12.0,0.7881738942099726,human,1.2869524963065473,3,120.0,19.817099999999837
run_20251104_164407,meal,1439.1600000000021,23.986000000000036,6,16.928000000000075,12.0,0.5049942014566046,human,1.1790302605298493,3,132.0,21.58739999999974
run_20251104_164407,meal,1478.1000000000022,24.635000000000037,15,17.164000000000087,12.0,0.5598149808689121,human,1.0588084279197458,3,144.0,22.171499999999714
run_20251104_164407,meal,1559.7000000000025,25.995000000000044,25,18.49000000000009,12.0,0.655701644813712,human,0.7237641945075314,3,156.0,23.395499999999654
run_20251104_164407,meal,1657.0200000000032,27.617000000000054,21,19.353000000000115,12.0,0.7947866005318296,human,0.3055225071949141,3,168.0,24.855299999999577
run_20251104_164407,meal,1689.120000000003,28.15200000000005,3,20.415000000000102,12.0,0.72562437300675,human,0.19378721755667083,3,180.0,25.33679999999956
run_20251104_164407,meal,1881.120000000005,31.352000000000082,18,22.987000000000148,12.0,0.6376081766973858,human,0.11069821524289214,3,192.0,28.21679999999939
run_20251104_164407,meal,1894.7400000000052,31.579000000000086,10,23.034000000000155,12.0,0.81248601496078,human,0.14601310556980118,3,204.0,28.421099999999374
run_20251104_164407,meal,2109.0600000000068,35.15100000000011,2,26.59000000000018,12.0,0.9515173037150816,human,1.0121625540769075,3,216.0,31.6358999999992
run_20251104_164407,meal,2123.820000000007,35.39700000000012,40,26.737000000000183,12.0,0.8146204972640883,human,1.0655136241347198,3,228.0,31.857299999999185
run_20251104_164407,meal,2216.2800000000075,36.93800000000012,33,28.31000000000019,12.0,0.7515969279930866,human,1.2822101206810372,3,240.0,33.2441999999994
run_20251104_164407,meal,2416.74000000001,40.27900000000016,4,31.50400000000023,12.0,0.6227989022479833,human,0.910168205707772,3,252.0,36.25109999999993
run_20251104_164407,meal,2459.8800000000106,40.998000000000175,24,32.17300000000024,12.0,0.7788923532723564,human,0.7229582289064672,3,264.0,36.89820000000004
run_20251104_164407,meal,2669.6400000000126,44.49400000000021,73,35.68600000000027,12.0,0.5164963204819495,human,0.024433827443621547,3,276.0,40.04460000000059
run_20251104_164407,meal,2697.120000000013,44.95200000000022,64,35.72900000000028,12.0,0.7136092727058051,human,0.010130369134298767,3,288.0,40.45680000000066
run_20251104_164407,meal,2721.6600000000135,45.361000000000224,62,36.5190000000003,12.0,0.7963412069313242,human,0.017360268080665486,3,300.0,40.824900000000724
run_20251104_164407,meal,2971.3200000000165,49.522000000000276,35,39.72100000000034,12.0,0.6845257384566347,human,0.8599603966758731,3,312.0,44.569800000001344
run_20251104_164407,meal,3000.5400000000172,50.009000000000285,67,40.75200000000034,12.0,0.5721740980261671,human,0.9796035243544496,3,324.0,45.00810000000141
run_20251104_164407,meal,3139.9200000000187,52.33200000000031,75,41.02700000000036,12.0,0.7842997368588015,human,1.298403583276975,3,336.0,47.09880000000178
run_20251104_164407,meal,3245.9400000000196,54.09900000000032,46,43.159000000000376,12.0,0.8185481569920985,human,1.1606500554484223,3,348.0,48.68910000000207
run_20251104_164407,meal,3251.8200000000197,54.19700000000033,12,43.80500000000038,12.0,0.8431527976857518,human,1.1437910428331661,3,360.0,48.777300000002086
run_20251104_164407,meal,3361.200000000021,56.02000000000035,66,42.81200000000038,12.0,0.777606308232762,human,0.7170446175437787,3,372.0,50.418000000002365
run_20251104_164407,meal,3445.200000000022,57.42000000000037,38,45.30700000000041,12.0,0.7116443289569823,human,0.3513959637532728,3,384.0,51.67800000000258
