run_id,row_type,sim_time_s,sim_minutes,customer_id,wait_time_min,price,quality,mode,n_servers,money_cum,labor_cum
run_20251102_143516,meal,236.47999999999976,3.9413333333333296,19,2.6553333333333264,5.0,0.7088527236010226,human,4,5.0,4.729600000000055
run_20251102_143516,meal,373.95999999999395,6.2326666666665655,42,5.123999999999897,5.0,0.6028217108508158,human,4,10.0,7.4792000000001195
run_20251102_143516,meal,499.6199999999878,8.326999999999796,33,6.516333333333129,5.0,0.8380778339585943,human,4,15.0,9.992400000000055
run_20251102_143516,meal,601.6799999999979,10.027999999999965,72,7.6793333333332985,5.0,0.6717496595596579,human,4,20.0,12.033599999999979
run_20251102_143516,meal,616.1399999999998,10.268999999999997,56,7.69933333333333,5.0,0.4496975107878665,human,4,25.0,12.322799999999964
run_20251102_143516,meal,689.7800000000088,11.49633333333348,23,9.98766666666681,5.0,0.7474881681837885,human,4,30.0,13.795599999999894
run_20251102_143516,meal,858.9400000000289,14.315666666667148,68,11.04266666666715,5.0,0.5311356396543918,human,4,35.0,17.178799999999594
run_20251102_143516,meal,934.1600000000383,15.56933333333397,2,12.042333333333973,5.0,0.8096289592396244,human,4,40.0,18.68319999999935
run_20251102_143516,meal,950.7400000000403,15.845666666667338,34,12.318666666667339,5.0,0.9947608628231868,human,4,45.0,19.014799999999294
run_20251102_143516,meal,1140.3800000000226,19.00633333333371,32,15.48500000000038,5.0,0.7276117773716921,human,4,50.0,22.80759999999867
