run_id,row_type,sim_time_s,sim_minutes,customer_id,time_spent_s,time_spent_min,dwell_s,wait_s,price,time_cost,gp,quality,mode
run_20251028_152150,meal,171.03999999999957,2.8506666666666596,19,101.63999999999943,1.6939999999999906,80.75412133486236,20.88587866513707,5.0,0.42349999999999766,5.423499999999998,0.6165251485264724,human
run_20251028_152150,meal,313.7599999999963,5.229333333333272,74,261.5999999999962,4.359999999999937,205.9846328615825,55.61536713841372,5.0,1.0899999999999843,6.089999999999984,0.7987723684082968,human
run_20251028_152150,meal,335.5999999999952,5.593333333333253,10,252.97999999999513,4.216333333333252,230.55978726006177,22.420212739933362,5.0,1.054083333333313,6.054083333333313,0.7801537680210987,human
run_20251028_152150,meal,347.21999999999457,5.786999999999909,36,98.89999999999537,1.6483333333332562,65.04828736533716,33.85171263465821,5.0,0.41208333333331404,5.412083333333314,0.687976487737235,human
run_20251028_152150,meal,356.7799999999941,5.946333333333235,37,229.99999999999432,3.8333333333332384,198.8371569859426,31.162843014051703,5.0,0.9583333333333096,5.95833333333331,0.6724645506685406,human
run_20251028_152150,meal,363.65999999999383,6.060999999999897,22,267.87999999999386,4.464666666666564,236.6482477305995,31.23175226939435,5.0,1.116166666666641,6.116166666666641,0.6950051867233031,human
run_20251028_152150,meal,399.5999999999919,6.659999999999865,31,227.89999999999233,3.7983333333332054,177.26134804924806,50.638651950744276,5.0,0.9495833333333014,5.949583333333301,0.8061940873217106,human
run_20251028_152150,meal,438.4799999999901,7.3079999999998355,26,143.81999999999294,2.3969999999998826,102.21572077596764,41.604279224025305,5.0,0.5992499999999706,5.59924999999997,0.6716058232533182,human
run_20251028_152150,meal,447.79999999998967,7.4633333333331615,38,351.35999999998967,5.855999999999828,292.69959627090856,58.66040372908111,5.0,1.463999999999957,6.463999999999957,0.5185746058250101,human
run_20251028_152150,meal,461.65999999998905,7.694333333333151,74,65.71999999999696,1.0953333333332826,38.091832959914996,27.628167040081962,5.0,0.27383333333332066,5.273833333333321,0.4707228568885471,human
run_20251028_152150,meal,471.5399999999886,7.85899999999981,28,411.39999999998844,6.856666666666474,363.07238799916223,48.32761200082621,5.0,1.7141666666666184,6.714166666666618,0.6759587216050631,human
run_20251028_152150,meal,497.9999999999873,8.29999999999979,2,176.93999999999141,2.948999999999857,137.47560581088428,39.46439418910714,5.0,0.7372499999999642,5.737249999999964,0.7827666031790352,human
run_20251028_152150,meal,520.3799999999877,8.672999999999796,12,377.11999999998807,6.285333333333134,340.42786845475354,36.69213154523453,5.0,1.5713333333332835,6.571333333333284,0.9106627855246812,human
run_20251028_152150,meal,523.6599999999881,8.727666666666469,59,296.4799999999889,4.941333333333148,247.2380741228657,49.24192587712318,5.0,1.235333333333287,6.235333333333287,0.9351754575184832,human
run_20251028_152150,meal,528.9399999999888,8.81566666666648,53,423.9199999999889,7.065333333333148,397.7684968601052,26.151503139883687,5.0,1.766333333333287,6.766333333333287,0.8350941069082335,human
run_20251028_152150,meal,550.6599999999916,9.177666666666527,6,353.8199999999921,5.896999999999868,298.3215287663804,55.49847123361167,5.0,1.474249999999967,6.474249999999967,0.583323044557325,human
run_20251028_152150,meal,578.8199999999949,9.646999999999915,8,364.8399999999956,6.080666666666593,311.18721165139027,53.65278834860533,5.0,1.5201666666666482,6.520166666666649,0.9173461980408015,human
run_20251028_152150,meal,586.0599999999959,9.767666666666598,21,525.2599999999957,8.75433333333326,485.08646309728704,40.17353690270863,5.0,2.188583333333315,7.188583333333315,0.7472780551123446,human
run_20251028_152150,meal,609.8599999999988,10.164333333333312,71,346.99999999999994,5.783333333333332,306.9998108534225,40.00018914657744,5.0,1.445833333333333,6.445833333333333,0.55387926554121,human
run_20251028_152150,meal,612.4999999999991,10.208333333333318,16,392.51999999999975,6.541999999999996,358.6325962651711,33.88740373482864,5.0,1.635499999999999,6.635499999999999,0.7849590508736386,human
run_20251028_152150,meal,626.940000000001,10.449000000000016,46,285.3600000000061,4.7560000000001015,257.30800616215504,28.051993837851057,5.0,1.1890000000000254,6.189000000000025,0.8013065199754567,human
run_20251028_152150,meal,664.5600000000056,11.076000000000095,63,252.10000000001435,4.201666666666906,213.78179136899274,38.318208631021605,5.0,1.0504166666667265,6.0504166666667265,0.8738330688251645,human
run_20251028_152150,meal,700.1600000000101,11.669333333333501,67,362.560000000015,6.042666666666917,318.87476278222886,43.68523721778615,5.0,1.5106666666667292,6.510666666666729,0.9218856581899274,human
run_20251028_152150,meal,710.4800000000113,11.841333333333521,1,325.8800000000186,5.431333333333643,308.99094122232816,16.889058777690423,5.0,1.3578333333334107,6.357833333333411,0.6066108470730197,human
run_20251028_152150,meal,718.0200000000123,11.967000000000205,30,359.9200000000182,5.99866666666697,315.1591588472346,44.7608411527836,5.0,1.4996666666667424,6.499666666666743,0.8444669343425999,human
run_20251028_152150,meal,733.5800000000141,12.226333333333569,61,270.9400000000251,4.5156666666670855,220.99999212379058,49.940007876234546,5.0,1.1289166666667714,6.128916666666772,0.903993857282326,human
run_20251028_152150,meal,734.5800000000143,12.243000000000238,52,528.4400000000148,8.807333333333581,488.60257254617085,39.837427453843986,5.0,2.2018333333333953,7.201833333333395,0.709667223914668,human
run_20251028_152150,meal,737.8200000000147,12.297000000000246,34,429.2800000000182,7.15466666666697,383.1773178085473,46.10268219147093,5.0,1.7886666666667426,6.788666666666742,0.7873938275625113,human
run_20251028_152150,meal,740.140000000015,12.335666666666917,19,456.1600000000172,7.602666666666953,418.0804352200451,38.07956477997209,5.0,1.9006666666667382,6.900666666666738,0.6830860246949454,human
run_20251028_152150,meal,758.2800000000173,12.638000000000288,9,320.7800000000271,5.346333333333785,286.76666404679975,34.01333595322734,5.0,1.3365833333334463,6.336583333333446,0.7078424207819344,human
run_20251028_152150,meal,758.6000000000173,12.643333333333622,70,427.6000000000219,7.126666666667032,376.10084056671985,51.499159433302054,5.0,1.781666666666758,6.781666666666758,0.7284255492174895,human
run_20251028_152150,meal,774.7800000000193,12.913000000000322,20,479.46000000002215,7.991000000000369,456.79682855191726,22.66317144810489,5.0,1.9977500000000923,6.997750000000092,0.65199346122441,human
run_20251028_152150,meal,775.7600000000194,12.929333333333657,48,568.32000000002,9.472000000000332,531.6628883866731,36.65711161334684,5.0,2.368000000000083,7.368000000000083,0.6618193613785796,human
run_20251028_152150,meal,777.7400000000197,12.962333333333662,14,355.42000000002884,5.923666666667147,314.96693856765074,40.45306143237809,5.0,1.4809166666667868,6.480916666666786,0.6854048833573001,human
run_20251028_152150,meal,795.5800000000219,13.259666666667032,4,476.52000000002585,7.942000000000431,449.1765998494955,27.34340015053033,5.0,1.9855000000001077,6.9855000000001075,0.6755448247421318,human
run_20251028_152150,meal,820.8600000000248,13.681000000000413,50,373.4000000000351,6.223333333333918,320.09730434256835,53.30269565746676,5.0,1.5558333333334795,6.55583333333348,0.7303571005533284,human
run_20251028_152150,meal,827.4800000000256,13.79133333333376,33,455.58000000003216,7.5930000000005355,402.0764081876202,53.50359181241197,5.0,1.8982500000001339,6.898250000000134,0.5906468494378216,human
run_20251028_152150,meal,887.8400000000331,14.797333333333885,72,511.9200000000399,8.532000000000666,464.6413612190289,47.27863878101101,5.0,2.1330000000001665,7.133000000000166,0.6484026921021114,human
run_20251028_152150,meal,935.1600000000388,15.586000000000647,12,58.60000000000707,0.9766666666667845,32.9674706404636,25.63252935954347,5.0,0.24416666666669612,5.244166666666696,0.6354262535684256,human
run_20251028_152150,meal,975.7200000000439,16.262000000000732,21,242.4800000000298,4.04133333333383,220.91965287577793,21.560347124251876,5.0,1.0103333333334574,6.010333333333458,0.7444076777755183,human
run_20251028_152150,meal,1001.4600000000471,16.691000000000784,55,184.96000000002277,3.082666666667046,132.0571805460878,52.90281945393497,5.0,0.7706666666667615,5.770666666666761,0.6304074192038361,human
run_20251028_152150,meal,1009.7400000000481,16.8290000000008,5,324.82000000003984,5.41366666666733,299.6319492907772,25.188050709262654,5.0,1.3534166666668326,6.353416666666833,0.6392331197954702,human
run_20251028_152150,meal,1015.9600000000489,16.932666666667483,46,264.94000000003257,4.415666666667209,246.07271464265497,18.867285357377597,5.0,1.1039166666668023,6.1039166666668025,0.5763531115237885,human
run_20251028_152150,meal,1027.500000000049,17.125000000000817,44,298.2400000000355,4.970666666667258,269.1021914657909,29.137808534244584,5.0,1.2426666666668145,6.242666666666814,0.9833773056262456,human
run_20251028_152150,meal,1047.3200000000447,17.455333333334078,61,242.08000000002176,4.03466666666703,206.9436549422866,35.136345057735156,5.0,1.0086666666667574,6.008666666666757,0.8031890234492408,human
run_20251028_152150,meal,1059.1600000000421,17.65266666666737,31,362.96000000003255,6.049333333333876,322.71929948225795,40.2407005177746,5.0,1.512333333333469,6.512333333333469,0.7295276027211651,human
run_20251028_152150,meal,1061.8200000000415,17.697000000000692,13,175.3000000000086,2.92166666666681,157.7077616208676,17.59223837914101,5.0,0.7304166666667025,5.730416666666702,0.5970899835689697,human
run_20251028_152150,meal,1071.0600000000395,17.85100000000066,3,223.54000000001133,3.7256666666668554,193.08726467742736,30.452735322583976,5.0,0.9314166666667139,5.931416666666713,0.6673509739360195,human
