run_id,row_type,sim_time_s,sim_minutes,customer_id,wait_time_s,wait_time_min,price,quality,mode,n_servers
run_20251102_141823,meal,236.9599999999999,3.9493333333333314,19,159.4599999999997,2.6576666666666617,5.0,0.7088527236010226,human,4
run_20251102_141823,meal,374.1599999999942,6.235999999999904,42,307.399999999994,5.123333333333234,5.0,0.6028217108508158,human,4
run_20251102_141823,meal,499.9799999999885,8.332999999999808,33,390.9199999999883,6.515333333333138,5.0,0.8380778339585943,human,4
run_20251102_141823,meal,602.0599999999991,10.034333333333318,72,460.67999999999904,7.677999999999984,5.0,0.6717496595596579,human,4
run_20251102_141823,meal,616.140000000001,10.269000000000016,56,461.42000000000087,7.6903333333333475,5.0,0.4496975107878665,human,4
run_20251102_141823,meal,690.0200000000102,11.500333333333504,23,599.20000000001,9.986666666666833,5.0,0.7474881681837885,human,4
run_20251102_141823,meal,803.3800000000241,13.389666666667068,2,591.3600000000242,9.856000000000403,5.0,0.8096289592396244,human,4
run_20251102_141823,meal,859.3000000000312,14.321666666667188,68,662.4400000000312,11.040666666667187,5.0,0.5311356396543918,human,4
run_20251102_141823,meal,899.6600000000361,14.994333333333936,32,688.0000000000362,11.466666666667269,5.0,0.7276117773716921,human,4
run_20251102_141823,meal,1138.100000000026,18.968333333333767,47,909.1000000000262,15.151666666667102,5.0,0.6317724154689836,human,4
run_20251102_141823,meal,1144.3600000000247,19.07266666666708,73,932.3400000000247,15.539000000000412,5.0,0.6063381310392524,human,4
